c(Ntop:Ntop)(cv_ac_0.0_10_ac_des) X,c(Ntop:Ntop)(cv_ac_0.0_10_ac_des) Y
-0.05,2.8356092e-15
-0.14555556,2.8314515e-15
-0.32817284,2.8246784e-15
-0.67717476,2.8145321e-15
-1.1771748,2.802776e-15
-1.6771748,2.7896052e-15
-2.1771748,2.7671757e-15
-2.6771748,2.7252063e-15
-3.1771748,2.6648597e-15
-3.6771748,2.6074013e-15
-4.1771748,2.5651669e-15
-4.6771748,2.5337985e-15
-5.1771748,2.5072102e-15
-5.6771748,2.4813825e-15
-6.1771748,2.4530986e-15
-6.6771748,2.4189178e-15
-7.1771748,2.3765848e-15
-7.6771748,2.3324057e-15
-8.1771748,2.3018531e-15
-8.6771748,2.2880706e-15
-9.1771748,2.2829711e-15
-9.6771748,2.2809895e-15
-10.177175,2.2800227e-15
-10.677175,2.2793937e-15
-11.177175,2.2788885e-15
-11.677175,2.2784369e-15
-12.177175,2.2780144e-15
-12.677175,2.2776118e-15
-13.177175,2.2772251e-15
-13.677175,2.2768522e-15
-14.177175,2.2764918e-15
-14.677175,2.276143e-15
-15.177175,2.2758052e-15
-15.677175,2.2754778e-15
-16.177175,2.2751605e-15
-16.677175,2.2748531e-15
-17.177175,2.2745554e-15
-17.677175,2.274268e-15
-18.177175,2.2739915e-15
-18.677175,2.2737276e-15
-19.177175,2.2734782e-15
-19.677175,2.273246e-15
-20.177175,2.2730332e-15
-20.677175,2.272841e-15
-21.177175,2.2726689e-15
-21.677175,2.2725153e-15
-22.177175,2.2723776e-15
-22.677175,2.2722532e-15
-23.177175,2.2721398e-15
-23.677175,2.2720357e-15
-24.177175,2.2719392e-15
-24.677175,2.2718493e-15
-25.177175,2.271765e-15
-25.677175,2.2716855e-15
-26.177175,2.2716103e-15
-26.677175,2.2715389e-15
-27.177175,2.2714709e-15
-27.677175,2.2714058e-15
-28.177175,2.2713434e-15
-28.677175,2.2712833e-15
-29.177175,2.2712255e-15
-29.677175,2.2711696e-15
-30.177175,2.2711156e-15
-30.677175,2.2710632e-15
-31.177175,2.2710123e-15
-31.677175,2.2709628e-15
-32.177175,2.2709145e-15
-32.677175,2.2708675e-15
-33.177175,2.2708215e-15
-33.677175,2.2707765e-15
-34.177175,2.2707325e-15
-34.677175,2.2706894e-15
-35.177175,2.2706471e-15
-35.677175,2.2706056e-15
-36.177175,2.2705648e-15
-36.677175,2.2705247e-15
-37.177175,2.2704852e-15
-37.677175,2.2704463e-15
-38.177175,2.270408e-15
-38.677175,2.2703702e-15
-39.177175,2.270333e-15
-39.677175,2.2702962e-15
-40.177175,2.27026e-15
-40.677175,2.2702241e-15
-41.177175,2.2701887e-15
-41.677175,2.2701537e-15
-42.177175,2.2701191e-15
-42.677175,2.2700848e-15
-43.177175,2.270051e-15
-43.677175,2.2700174e-15
-44.177175,2.2699842e-15
-44.677175,2.2699513e-15
-45.177175,2.2699188e-15
-45.677175,2.2698865e-15
-46.177175,2.2698545e-15
-46.677175,2.2698228e-15
-47.177175,2.2697914e-15
-47.677175,2.2697602e-15
-48.177175,2.2697293e-15
-48.677175,2.2696987e-15
-49.177175,2.2696683e-15
-49.677175,2.2696381e-15
-50,2.2696187e-15

