c(Ntop:Ntop)(cv_n222_ac_des) X,c(Ntop:Ntop)(cv_n222_ac_des) Y
-0.05,9.6840346e-16
-0.14555556,9.6424669e-16
-0.32817284,9.5747699e-16
-0.67717476,9.4734785e-16
-1.1771748,9.356788e-16
-1.6771748,9.2281243e-16
-2.1771748,9.0129014e-16
-2.6771748,8.6145954e-16
-3.1771748,8.0439258e-16
-3.6771748,7.5011212e-16
-4.1771748,7.1083e-16
-4.6771748,6.8286729e-16
-5.1771748,6.6074093e-16
-5.6771748,6.4120738e-16
-6.1771748,6.2236145e-16
-6.6771748,6.0271937e-16
-7.1771748,5.8071833e-16
-7.6771748,5.5465032e-16
-8.1771748,5.2382612e-16
-8.6771748,4.9189662e-16
-9.1771748,4.6697907e-16
-9.6771748,4.5267304e-16
-10.177175,4.4573766e-16
-10.677175,4.4236991e-16
-11.177175,4.4053528e-16
-11.677175,4.3936708e-16
-12.177175,4.3851213e-16
-12.677175,4.3782194e-16
-13.177175,4.3722979e-16
-13.677175,4.3670307e-16
-14.177175,4.362243e-16
-14.677175,4.3578322e-16
-15.177175,4.3537338e-16
-15.677175,4.3499044e-16
-16.177175,4.3463141e-16
-16.677175,4.3429423e-16
-17.177175,4.3397766e-16
-17.677175,4.3368124e-16
-18.177175,4.3340546e-16
-18.677175,4.3315189e-16
-19.177175,4.3292328e-16
-19.677175,4.3272307e-16
-20.177175,4.3255434e-16
-20.677175,4.324183e-16
-21.177175,4.3231334e-16
-21.677175,4.3223534e-16
-22.177175,4.3217895e-16
-22.677175,4.3213897e-16
-23.177175,4.3211114e-16
-23.677175,4.3209229e-16
-24.177175,4.3208014e-16
-24.677175,4.3207315e-16
-25.177175,4.3207021e-16
-25.677175,4.3207053e-16
-26.177175,4.3207353e-16
-26.677175,4.3207877e-16
-27.177175,4.3208591e-16
-27.677175,4.3209466e-16
-28.177175,4.3210479e-16
-28.677175,4.3211611e-16
-29.177175,4.3212846e-16
-29.677175,4.3214169e-16
-30.177175,4.3215568e-16
-30.677175,4.3217031e-16
-31.177175,4.321855e-16
-31.677175,4.3220116e-16
-32.177175,4.3221722e-16
-32.677175,4.322336e-16
-33.177175,4.3225026e-16
-33.677175,4.3226712e-16
-34.177175,4.3228416e-16
-34.677175,4.3230132e-16
-35.177175,4.3231858e-16
-35.677175,4.3233588e-16
-36.177175,4.3235322e-16
-36.677175,4.3237054e-16
-37.177175,4.3238784e-16
-37.677175,4.324051e-16
-38.177175,4.3242228e-16
-38.677175,4.3243938e-16
-39.177175,4.3245637e-16
-39.677175,4.3247325e-16
-40.177175,4.3249e-16
-40.677175,4.3250662e-16
-41.177175,4.3252308e-16
-41.677175,4.3253939e-16
-42.177175,4.3255552e-16
-42.677175,4.3257149e-16
-43.177175,4.3258728e-16
-43.677175,4.3260289e-16
-44.177175,4.326183e-16
-44.677175,4.3263353e-16
-45.177175,4.3264856e-16
-45.677175,4.3266339e-16
-46.177175,4.3267802e-16
-46.677175,4.3269245e-16
-47.177175,4.3270667e-16
-47.677175,4.3272069e-16
-48.177175,4.3273451e-16
-48.677175,4.3274812e-16
-49.177175,4.3276152e-16
-49.677175,4.3277471e-16
-50,4.3278312e-16

