Ntop TotalCurrent(iv_0.5_8) X,Ntop TotalCurrent(iv_0.5_8) Y
0,-4.250392e-18
0,-8.8388339e-20
0,1.4875314e-16
0,2.1436457e-16
0,2.6678907e-16
0,3.1361494e-16
0,3.5488226e-16
0,3.9653421e-16
0,4.3401222e-16
0,4.7056897e-16
0,5.0506647e-16
0,5.3920736e-16
0,5.3817282e-16
-0.5,6.8849671e-16
-1,8.2111535e-16
-1.5,9.3284346e-16
-2,1.0246343e-15
-2.5,1.0993004e-15
-3,1.1644234e-15
-3.5,1.198649e-15
-4,1.2518082e-15
-4.5,1.2816094e-15
-5,1.2877677e-15
-5.5,1.3093673e-15
-6,1.3217299e-15
-6.5,1.3435412e-15
-7,1.3293657e-15
-7.5,1.3300589e-15
-8,1.3444608e-15
-8.5,1.3583776e-15
-9,1.3550636e-15
-9.5,1.3427219e-15
-10,1.3592538e-15
-10.5,1.3530656e-15
-11,1.3418802e-15
-11.5,1.3475871e-15
-12,1.3376108e-15
-12.5,1.3557436e-15
-13,1.4073404e-15
-13.5,1.3580441e-15
-14,1.3823523e-15
-14.5,1.4064374e-15
-15,1.3645501e-15
-15.5,1.3664501e-15
-16,1.3708459e-15
-16.5,1.3528118e-15
-17,1.3895079e-15
-17.5,1.3641575e-15
-18,1.3462046e-15
-18.5,1.3113077e-15
-19,1.2789011e-15
-19.5,1.2126422e-15
-20,1.1467542e-15
-20.5,1.0062774e-15
-21,8.9950029e-16
-21.5,8.146602e-16
-22,7.2876944e-16
-22.5,6.3359682e-16
-23,6.4259136e-16
-23.5,5.7757322e-16
-24,4.8839539e-16
-24.5,4.7432284e-16
-25,4.3301281e-16
-25.5,3.6933319e-16
-26,3.6287765e-16
-26.5,3.5542446e-16
-27,3.4466336e-16
-27.5,2.9640557e-16
-28,1.2519313e-16
-28.5,2.2431187e-16
-29,1.2414401e-16
-29.5,2.1465978e-16
-30,1.818715e-16
-30.5,1.9974506e-16
-31,2.2072049e-16
-31.5,2.1500476e-16
-32,2.3027553e-16
-32.5,2.1694372e-16
-33,1.7103145e-16
-33.5,1.5056988e-16
-34,1.6198611e-16
-34.5,1.0552997e-16
-35,1.8048494e-16
-35.5,1.7673481e-16
-36,1.3733778e-16
-36.5,1.5409518e-16
-37,1.0743689e-16
-37.5,9.0503833e-17
-38,1.0036584e-16
-38.5,1.0926921e-16
-39,1.5095782e-16
-39.5,1.2668699e-16
-40,1.0956277e-16
-40.5,1.2503401e-16
-41,1.2429403e-16
-41.5,1.3157088e-16
-42,1.0435718e-16
-42.5,1.1932065e-16
-43,1.2000593e-16
-43.5,1.1154253e-16
-44,1.3593694e-16
-44.5,1.3115306e-16
-45,1.2693283e-16
-45.5,1.0276567e-16
-46,1.0258553e-16
-46.5,9.0098205e-17
-47,9.9441597e-17
-47.5,9.2386477e-17
-48,1.1908892e-16
-48.5,1.0720175e-16
-49,8.4566972e-17
-49.5,1.2126723e-16
-50,1.0604272e-16

