Ntop TotalCurrent(n173_des) X,Ntop TotalCurrent(n173_des) Y
0,-4.2586004e-18
0,1.4383648e-18
0,1.487784e-16
0,2.1443827e-16
0,2.6677395e-16
0,3.1285464e-16
0,3.5581463e-16
0,3.9632695e-16
0,4.3344166e-16
0,4.6952027e-16
0,5.0381194e-16
0,5.3822661e-16
0,5.3780329e-16
-0.5,6.9131099e-16
-1,8.184804e-16
-1.5,9.3573235e-16
-2,1.0214619e-15
-2.5,1.0948577e-15
-3,1.1603431e-15
-3.5,1.1920602e-15
-4,1.2365775e-15
-4.5,1.2610246e-15
-5,1.2785717e-15
-5.5,1.2913223e-15
-6,1.3141809e-15
-6.5,1.3189983e-15
-7,1.3395551e-15
-7.5,1.3374531e-15
-8,1.355115e-15
-8.5,1.3485888e-15
-9,1.3346735e-15
-9.5,1.3513273e-15
-10,1.3511721e-15
-10.5,1.3638317e-15
-11,1.361379e-15
-11.5,1.3762912e-15
-12,1.3875489e-15
-12.5,1.368838e-15
-13,1.3504213e-15
-13.5,1.3526575e-15
-14,1.3642982e-15
-14.5,1.3774178e-15
-15,1.3827491e-15
-15.5,1.3790072e-15
-16,1.3760584e-15
-16.5,1.4077285e-15
-17,1.3632171e-15
-17.5,1.3381656e-15
-18,1.3551267e-15
-18.5,1.3461673e-15
-19,1.3842177e-15
-19.5,1.320358e-15
-20,1.2225987e-15
-20.5,1.1533357e-15
-21,1.0403765e-15
-21.5,9.6357092e-16
-22,8.7376211e-16
-22.5,8.4207985e-16
-23,7.3228298e-16
-23.5,6.5742311e-16
-24,6.1462027e-16
-24.5,5.5392407e-16
-25,5.564244e-16
-25.5,5.0262165e-16
-26,4.5647371e-16
-26.5,4.6141815e-16
-27,3.9673791e-16
-27.5,3.8286458e-16
-28,3.7537308e-16
-28.5,2.3091514e-16
-29,2.8025628e-16
-29.5,2.6830821e-16
-30,1.7959524e-16
-30.5,2.3153068e-16
-31,2.4664407e-16
-31.5,2.1115485e-16
-32,2.5670729e-16
-32.5,2.5895155e-16
-33,2.6328699e-16
-33.5,2.4515039e-16
-34,2.1120233e-16
-34.5,2.0678626e-16
-35,2.2907317e-16
-35.5,2.1938937e-16
-36,1.939443e-16
-36.5,2.2532397e-16
-37,2.0163576e-16
-37.5,1.8525964e-16
-38,1.5124624e-16
-38.5,1.9567504e-16
-39,1.2864581e-16
-39.5,1.7276845e-16
-40,1.631314e-16
-40.5,1.6226192e-16
-41,1.6153235e-16
-41.5,1.5780968e-16
-42,1.5092384e-16
-42.5,1.6926315e-16
-43,1.3511163e-16
-43.5,1.1633898e-16
-44,1.3882267e-16
-44.5,1.4582127e-16
-45,1.451654e-16
-45.5,1.3399524e-16
-46,1.6142471e-16
-46.5,1.3812099e-16
-47,1.3768768e-16
-47.5,1.4628619e-16
-48,1.5553272e-16
-48.5,1.3047387e-16
-49,1.3185945e-16
-49.5,1.1083021e-16
-50,1.3006286e-16

