Ptop TotalCurrent(iv_1.0_9) X,Ptop TotalCurrent(iv_1.0_9) Y
0,-1.865384e-20
0,1.1279672e-20
0,-1.4356441e-17
0,-2.1736516e-17
0,-2.8049418e-17
0,-3.3833005e-17
0,-3.9356069e-17
0,-4.4584216e-17
0,-4.962399e-17
0,-5.4546566e-17
0,-5.9527379e-17
0,-6.4800428e-17
0,-6.4809902e-17
-0.5,-6.4192309e-17
-1,-6.3764827e-17
-1.5,-6.3500528e-17
-2,-6.3492985e-17
-2.5,-6.3858284e-17
-3,-6.4828973e-17
-3.5,-6.6730047e-17
-4,-6.9754229e-17
-4.5,-7.3546234e-17
-5,-7.6810327e-17
-5.5,-7.8626227e-17
-6,-7.9244151e-17
-6.5,-7.9156285e-17
-7,-7.8704779e-17
-7.5,-7.8032134e-17
-8,-7.7191357e-17
-8.5,-7.6206599e-17
-9,-7.5103103e-17
-9.5,-7.3755607e-17
-10,-7.1910566e-17
-10.5,-6.8429498e-17
-11,-5.9252815e-17
-11.5,-2.9992419e-17
-12,6.9093737e-17
-12.5,4.0571216e-16
-13,1.5268374e-15
-13.5,5.1562953e-15
-14,1.6534643e-14
-14.5,5.1011668e-14
-15,1.5186094e-13
-15.5,4.3636896e-13
-16,1.2097667e-12
-16.5,3.2335883e-12
-17,8.3256926e-12
-17.5,2.0626526e-11
-18,4.9098636e-11
-18.5,1.1207213e-10
-19,2.4465934e-10
-19.5,5.0906809e-10
-20,1.0055049e-9
-20.5,1.8776706e-9
-21,3.3048781e-9
-21.5,5.4776872e-9
-22,8.5653067e-9
-22.5,1.2690203e-8
-23,1.7919778e-8
-23.5,2.4273229e-8
-24,3.1735357e-8
-24.5,4.0270305e-8
-25,4.9832044e-8
-25.5,6.0371208e-8
-26,7.1839075e-8
-26.5,8.4189623e-8
-27,9.7380426e-8
-27.5,1.1137288e-7
-28,1.2613211e-7
-28.5,1.4162665e-7
-29,1.5782815e-7
-29.5,1.7471101e-7
-30,1.9225205e-7
-30.5,2.1043022e-7
-31,2.2922631e-7
-31.5,2.4862275e-7
-32,2.6860341e-7
-32.5,2.8915339e-7
-33,3.1025893e-7
-33.5,3.3190721e-7
-34,3.5408631e-7
-34.5,3.7678506e-7
-35,3.9999298e-7
-35.5,4.2370021e-7
-36,4.4789744e-7
-36.5,4.7257586e-7
-37,4.977271e-7
-37.5,5.2334322e-7
-38,5.4941663e-7
-38.5,5.7594008e-7
-39,6.0290664e-7
-39.5,6.3030965e-7
-40,6.5814273e-7
-40.5,6.8639973e-7
-41,7.1507471e-7
-41.5,7.4416195e-7
-42,7.7365592e-7
-42.5,8.0355128e-7
-43,8.3384283e-7
-43.5,8.6452554e-7
-44,8.9559452e-7
-44.5,9.2704504e-7
-45,9.5887247e-7
-45.5,9.9107232e-7
-46,1.0236402e-6
-46.5,1.0565718e-6
-47,1.089863e-6
-47.5,1.1235098e-6
-48,1.157508e-6
-48.5,1.1918539e-6
-49,1.2265437e-6
-49.5,1.2615735e-6
-50,1.2969399e-6

