c(Ntop:Ntop)(cv_n41_ac_des) X,c(Ntop:Ntop)(cv_n41_ac_des) Y
-0.1,1.2975342e-14
-0.28666667,1.2797763e-14
-0.64340741,1.2542365e-14
-1.3093235,1.2228334e-14
-2.3093235,1.1943135e-14
-3.3093235,1.1761042e-14
-4.3093235,1.1631804e-14
-5.3093235,1.1533812e-14
-6.3093235,1.145624e-14
-7.3093235,1.1392625e-14
-8.3093235,1.1338718e-14
-9.3093235,1.1290478e-14
-10.309323,1.1240993e-14
-11.309323,1.1171365e-14
-12.309323,1.1021727e-14
-13.309323,1.060106e-14
-14.309323,9.3464038e-15
-15.309323,7.0590612e-15
-16.309323,5.5204471e-15
-17.309323,4.7282071e-15
-18.309323,4.1967797e-15
-19.309323,3.7737566e-15
-20.309323,3.4177847e-15
-21.309323,3.1005277e-15
-22.309323,2.8103334e-15
-23.309323,2.5586252e-15
-24.309323,2.3396067e-15
-25.309323,2.1376284e-15
-26.309323,1.9525573e-15
-27.309323,1.7936885e-15
-28.309323,1.6686489e-15
-29.309323,1.5784279e-15
-30.309323,1.515059e-15
-31.309323,1.4687618e-15
-32.309323,1.4333439e-15
-33.309323,1.4055992e-15
-34.309323,1.3836809e-15
-35.309323,1.3662992e-15
-36.309323,1.3524628e-15
-37.309323,1.3413966e-15
-38.309323,1.3324927e-15
-39.309323,1.3252788e-15
-40.309323,1.3193886e-15
-41.309323,1.3145404e-15
-42.309323,1.3105216e-15
-43.309323,1.3071782e-15
-44.309323,1.3043956e-15
-45.309323,1.3020948e-15
-46.309323,1.300215e-15
-47.309323,1.2986961e-15
-48.309323,1.2974816e-15
-49.309323,1.2965012e-15
-50.309323,1.2956991e-15
-51.309323,1.295028e-15
-52.309323,1.2944533e-15
-53.309323,1.2939517e-15
-54.309323,1.293504e-15
-55.309323,1.2930984e-15
-56.309323,1.2927274e-15
-57.309323,1.292384e-15
-58.309323,1.2920637e-15
-59.309323,1.291762e-15
-60.309323,1.2914765e-15
-61.309323,1.2912045e-15
-62.309323,1.290944e-15
-63.309323,1.2906935e-15
-64.309323,1.2904519e-15
-65.309323,1.2902177e-15
-66.309323,1.2899903e-15
-67.309323,1.2897688e-15
-68.309323,1.2895524e-15
-69.309323,1.2893407e-15
-70.309323,1.289133e-15
-71.309323,1.2889292e-15
-72.309323,1.2887286e-15
-73.309323,1.288531e-15
-74.309323,1.2883361e-15
-75.309323,1.2881436e-15
-76.309323,1.2879533e-15
-77.309323,1.287765e-15
-78.309323,1.2875784e-15
-79.309323,1.2873934e-15
-80.309323,1.2872098e-15
-81.309323,1.2870274e-15
-82.309323,1.2868461e-15
-83.309323,1.2866656e-15
-84.309323,1.286486e-15
-85.309323,1.286307e-15
-86.309323,1.2861285e-15
-87.309323,1.2859505e-15
-88.309323,1.2857727e-15
-89.309323,1.285595e-15
-90.309323,1.2854174e-15
-91.309323,1.2852396e-15
-92.309323,1.2850618e-15
-93.309323,1.2848836e-15
-94.309323,1.284705e-15
-95.309323,1.284526e-15
-96.309323,1.2843463e-15
-97.309323,1.284166e-15
-98.309323,1.283985e-15
-99.309323,1.2838031e-15
-100,1.283677e-15

