c(Ntop:Ntop)(cv_n47_ac_des) X,c(Ntop:Ntop)(cv_n47_ac_des) Y
-0.1,1.5059272e-14
-0.28666667,1.487822e-14
-0.64340741,1.4605103e-14
-1.3093235,1.4204634e-14
-2.3093235,1.3371616e-14
-3.3093235,1.2139614e-14
-4.3093235,1.1311116e-14
-5.3093235,1.0724937e-14
-6.3093235,1.0240501e-14
-7.3093235,9.8264669e-15
-8.3093235,9.492835e-15
-9.3093235,9.205375e-15
-10.309323,8.9827737e-15
-11.309323,8.7975411e-15
-12.309323,8.5766681e-15
-13.309323,8.2996991e-15
-14.309323,7.9891339e-15
-15.309323,7.6436998e-15
-16.309323,7.2428731e-15
-17.309323,6.8537578e-15
-18.309323,6.5815288e-15
-19.309323,6.404555e-15
-20.309323,6.273301e-15
-21.309323,6.1686785e-15
-22.309323,6.0808209e-15
-23.309323,5.9998244e-15
-24.309323,5.9217516e-15
-25.309323,5.8487394e-15
-26.309323,5.7835743e-15
-27.309323,5.7266554e-15
-28.309323,5.6766725e-15
-29.309323,5.6317678e-15
-30.309323,5.5904525e-15
-31.309323,5.5518599e-15
-32.309323,5.5156685e-15
-33.309323,5.4820017e-15
-34.309323,5.450988e-15
-35.309323,5.4230821e-15
-36.309323,5.3984657e-15
-37.309323,5.3771974e-15
-38.309323,5.3590861e-15
-39.309323,5.3438779e-15
-40.309323,5.3311594e-15
-41.309323,5.3205404e-15
-42.309323,5.3116337e-15
-43.309323,5.3041135e-15
-44.309323,5.2977125e-15
-45.309323,5.292214e-15
-46.309323,5.2874563e-15
-47.309323,5.2833089e-15
-48.309323,5.2796683e-15
-49.309323,5.2764544e-15
-50.309323,5.2736027e-15
-51.309323,5.2710547e-15
-52.309323,5.2687688e-15
-53.309323,5.2666971e-15
-54.309323,5.2648082e-15
-55.309323,5.2630686e-15
-56.309323,5.2614496e-15
-57.309323,5.259926e-15
-58.309323,5.2584755e-15
-59.309323,5.2570777e-15
-60.309323,5.2557155e-15
-61.309323,5.2543732e-15
-62.309323,5.2530389e-15
-63.309323,5.2516971e-15
-64.309323,5.25034e-15
-65.309323,5.2489608e-15
-66.309323,5.2475468e-15
-67.309323,5.2461025e-15
-68.309323,5.2446176e-15
-69.309323,5.243088e-15
-70.309323,5.2415181e-15
-71.309323,5.239899e-15
-72.309323,5.2382403e-15
-73.309323,5.2365309e-15
-74.309323,5.2347767e-15
-75.309323,5.2329903e-15
-76.309323,5.231164e-15
-77.309323,5.229315e-15
-78.309323,5.2274267e-15
-79.309323,5.2255148e-15
-80.309323,5.2235843e-15
-81.309323,5.2216404e-15

