c(Ntop:Ntop)(cv_n191_ac_des) X,c(Ntop:Ntop)(cv_n191_ac_des) Y
-0.05,2.8773753e-15
-0.14555556,2.8732301e-15
-0.32817284,2.8664957e-15
-0.67717476,2.8565286e-15
-1.1771748,2.8456028e-15
-1.6771748,2.834906e-15
-2.1771748,2.8200298e-15
-2.6771748,2.7949405e-15
-3.1771748,2.7572482e-15
-3.6771748,2.7149462e-15
-4.1771748,2.6787479e-15
-4.6771748,2.6508882e-15
-5.1771748,2.6287622e-15
-5.6771748,2.6099436e-15
-6.1771748,2.5930081e-15
-6.6771748,2.5771623e-15
-7.1771748,2.5619226e-15
-7.6771748,2.5469427e-15
-8.1771748,2.5319179e-15
-8.6771748,2.5165189e-15
-9.1771748,2.5003268e-15
-9.6771748,2.4827533e-15
-10.177175,2.462953e-15
-10.677175,2.4398235e-15
-11.177175,2.4124791e-15
-11.677175,2.3819666e-15
-12.177175,2.3533032e-15
-12.677175,2.3324958e-15
-13.177175,2.3204435e-15
-13.677175,2.3141251e-15
-14.177175,2.3107163e-15
-14.677175,2.3086625e-15
-15.177175,2.3072453e-15
-15.677175,2.306146e-15
-16.177175,2.3052209e-15
-16.677175,2.3044019e-15
-17.177175,2.3036551e-15
-17.677175,2.3029623e-15
-18.177175,2.3023132e-15
-18.677175,2.3017022e-15
-19.177175,2.3011264e-15
-19.677175,2.3005856e-15
-20.177175,2.3000809e-15
-20.677175,2.2996144e-15
-21.177175,2.2991878e-15
-21.677175,2.2988006e-15
-22.177175,2.2984501e-15
-22.677175,2.2981319e-15
-23.177175,2.2978412e-15
-23.677175,2.2975733e-15
-24.177175,2.2973245e-15
-24.677175,2.2970916e-15
-25.177175,2.2968723e-15
-25.677175,2.2966646e-15
-26.177175,2.2964671e-15
-26.677175,2.2962785e-15
-27.177175,2.2960977e-15
-27.677175,2.295924e-15
-28.177175,2.2957566e-15
-28.677175,2.2955949e-15
-29.177175,2.2954383e-15
-29.677175,2.2952865e-15
-30.177175,2.2951389e-15
-30.677175,2.2949954e-15
-31.177175,2.2948555e-15
-31.677175,2.294719e-15
-32.177175,2.2945856e-15
-32.677175,2.2944551e-15
-33.177175,2.2943275e-15
-33.677175,2.2942023e-15
-34.177175,2.2940796e-15
-34.677175,2.2939592e-15
-35.177175,2.2938409e-15
-35.677175,2.2937247e-15
-36.177175,2.2936104e-15
-36.677175,2.293498e-15
-37.177175,2.2933874e-15
-37.677175,2.2932784e-15
-38.177175,2.2931711e-15
-38.677175,2.2930654e-15
-39.177175,2.2929612e-15
-39.677175,2.2928585e-15
-40.177175,2.2927571e-15
-40.677175,2.2926572e-15
-41.177175,2.2925586e-15
-41.677175,2.2924613e-15
-42.177175,2.2923653e-15
-42.677175,2.2922705e-15
-43.177175,2.292177e-15
-43.677175,2.2920846e-15
-44.177175,2.2919934e-15
-44.677175,2.2919033e-15
-45.177175,2.2918144e-15
-45.677175,2.2917265e-15
-46.177175,2.2916398e-15
-46.677175,2.2915541e-15
-47.177175,2.2914694e-15
-47.677175,2.2913858e-15
-48.177175,2.2913032e-15
-48.677175,2.2912216e-15
-49.177175,2.291141e-15
-49.677175,2.2910614e-15
-50,2.2910105e-15

