c(Ntop:Ntop)(cv_n215_ac_des) X,c(Ntop:Ntop)(cv_n215_ac_des) Y
-0.05,1.4470076e-15
-0.14555556,1.4428626e-15
-0.32817284,1.4361292e-15
-0.67717476,1.4261667e-15
-1.1771748,1.4152623e-15
-1.6771748,1.4046375e-15
-2.1771748,1.3899601e-15
-2.6771748,1.3653175e-15
-3.1771748,1.3283676e-15
-3.6771748,1.2869161e-15
-4.1771748,1.2515162e-15
-4.6771748,1.224454e-15
-5.1771748,1.2031963e-15
-5.6771748,1.1853516e-15
-6.1771748,1.1695186e-15
-6.6771748,1.1549302e-15
-7.1771748,1.1411413e-15
-7.6771748,1.1278638e-15
-8.1771748,1.1148843e-15
-8.6771748,1.1020194e-15
-9.1771748,1.0890854e-15
-9.6771748,1.0758739e-15
-10.177175,1.0621274e-15
-10.677175,1.0475208e-15
-11.177175,1.0316635e-15
-11.677175,1.0141782e-15
-12.177175,9.9496395e-16
-12.677175,9.7471135e-16
-13.177175,9.5528678e-16
-13.677175,9.3902543e-16
-14.177175,9.2713072e-16
-14.677175,9.1916764e-16
-15.177175,9.139735e-16
-15.677175,9.1050212e-16
-16.177175,9.0805789e-16
-16.677175,9.0622994e-16
-17.177175,9.0478425e-16
-17.677175,9.0358707e-16
-18.177175,9.0256037e-16
-18.677175,9.016577e-16
-19.177175,9.0085134e-16
-19.677175,9.0012543e-16
-20.177175,8.9947191e-16
-20.677175,8.9888731e-16
-21.177175,8.9836958e-16
-21.677175,8.9791523e-16
-22.177175,8.9751802e-16
-22.677175,8.9716954e-16
-23.177175,8.9686092e-16
-23.677175,8.9658423e-16
-24.177175,8.9633308e-16
-24.677175,8.961026e-16
-25.177175,8.9588917e-16
-25.677175,8.9569006e-16
-26.177175,8.955032e-16
-26.677175,8.9532697e-16
-27.177175,8.9516007e-16
-27.677175,8.9500146e-16
-28.177175,8.9485026e-16
-28.677175,8.9470571e-16
-29.177175,8.9456719e-16
-29.677175,8.9443413e-16
-30.177175,8.9430606e-16
-30.677175,8.9418256e-16
-31.177175,8.9406324e-16
-31.677175,8.9394777e-16
-32.177175,8.9383586e-16
-32.677175,8.9372723e-16
-33.177175,8.9362165e-16
-33.677175,8.9351889e-16
-34.177175,8.9341877e-16
-34.677175,8.933211e-16
-35.177175,8.9322573e-16
-35.677175,8.9313252e-16
-36.177175,8.9304132e-16
-36.677175,8.9295202e-16
-37.177175,8.9286451e-16
-37.677175,8.927787e-16
-38.177175,8.9269448e-16
-38.677175,8.9261178e-16
-39.177175,8.9253052e-16
-39.677175,8.9245062e-16
-40.177175,8.9237204e-16
-40.677175,8.922947e-16
-41.177175,8.9221855e-16
-41.677175,8.9214355e-16
-42.177175,8.9206964e-16
-42.677175,8.9199679e-16
-43.177175,8.9192495e-16
-43.677175,8.918541e-16
-44.177175,8.9178419e-16
-44.677175,8.9171519e-16
-45.177175,8.9164708e-16
-45.677175,8.9157983e-16
-46.177175,8.9151342e-16
-46.677175,8.9144782e-16
-47.177175,8.9138301e-16
-47.677175,8.9131897e-16
-48.177175,8.9125568e-16
-48.677175,8.9119313e-16
-49.177175,8.9113131e-16
-49.677175,8.9107018e-16
-50,8.9103109e-16

