c(Ntop:Ntop)(cv_ac_2.0_10_ac_des) X,c(Ntop:Ntop)(cv_ac_2.0_10_ac_des) Y
-0.05,1.2889852e-15
-0.14555556,1.2848403e-15
-0.32817284,1.2781069e-15
-0.67717476,1.2681447e-15
-1.1771748,1.2572426e-15
-1.6771748,1.2466288e-15
-2.1771748,1.2320149e-15
-2.6771748,1.2077548e-15
-3.1771748,1.1723245e-15
-3.6771748,1.1339706e-15
-4.1771748,1.1021332e-15
-4.6771748,1.0782318e-15
-5.1771748,1.0597671e-15
-5.6771748,1.0445629e-15
-6.1771748,1.0313573e-15
-6.6771748,1.019459e-15
-7.1771748,1.0084715e-15
-7.6771748,9.9815009e-16
-8.1771748,9.883328e-16
-8.6771748,9.7890634e-16
-9.1771748,9.6978763e-16
-9.6771748,9.6091308e-16
-10.177175,9.522322e-16
-10.677175,9.4370375e-16
-11.177175,9.3529384e-16
-11.677175,9.269754e-16
-12.177175,9.1872888e-16
-12.677175,9.1054406e-16
-13.177175,9.0242279e-16
-13.677175,8.943824e-16
-14.177175,8.8645902e-16
-14.677175,8.787096e-16
-15.177175,8.7121084e-16
-15.677175,8.6405363e-16
-16.177175,8.5733253e-16
-16.677175,8.5113224e-16
-17.177175,8.455146e-16
-17.677175,8.4051041e-16
-18.177175,8.3611835e-16
-18.677175,8.3231056e-16
-19.177175,8.2904203e-16
-19.677175,8.262607e-16
-20.177175,8.2391538e-16
-20.677175,8.2195966e-16
-21.177175,8.2035136e-16
-21.677175,8.1904879e-16
-22.177175,8.1800741e-16
-22.677175,8.1718033e-16
-23.177175,8.165223e-16
-23.677175,8.1599393e-16
-24.177175,8.1556383e-16
-24.677175,8.1520835e-16
-25.177175,8.1491022e-16
-25.677175,8.1465694e-16
-26.177175,8.1443937e-16
-26.677175,8.1425078e-16
-27.177175,8.1408607e-16
-27.677175,8.1394132e-16
-28.177175,8.1381349e-16
-28.677175,8.1370011e-16
-29.177175,8.1359921e-16
-29.677175,8.1350916e-16
-30.177175,8.134286e-16
-30.677175,8.1335639e-16
-31.177175,8.1329156e-16
-31.677175,8.1323329e-16
-32.177175,8.1318086e-16
-32.677175,8.1313364e-16
-33.177175,8.130911e-16
-33.677175,8.1305276e-16
-34.177175,8.130182e-16
-34.677175,8.1298706e-16
-35.177175,8.12959e-16
-35.677175,8.1293373e-16
-36.177175,8.12911e-16
-36.677175,8.1289057e-16
-37.177175,8.1287224e-16
-37.677175,8.1285582e-16
-38.177175,8.1284114e-16
-38.677175,8.1282806e-16
-39.177175,8.1281643e-16
-39.677175,8.1280614e-16
-40.177175,8.1279708e-16
-40.677175,8.1278914e-16
-41.177175,8.1278224e-16
-41.677175,8.1277629e-16
-42.177175,8.1277123e-16
-42.677175,8.1276698e-16
-43.177175,8.1276347e-16
-43.677175,8.1276067e-16
-44.177175,8.1275851e-16
-44.677175,8.1275694e-16
-45.177175,8.1275593e-16
-45.677175,8.1275544e-16
-46.177175,8.1275542e-16
-46.677175,8.1275585e-16
-47.177175,8.127567e-16
-47.677175,8.1275794e-16
-48.177175,8.1275954e-16
-48.677175,8.1276148e-16
-49.177175,8.1276374e-16
-49.677175,8.1276629e-16
-50,8.1276809e-16

