Ntop TotalCurrent(iv_0.5_10) X,Ntop TotalCurrent(iv_0.5_10) Y
0,-2.5792755e-17
0,1.2591444e-19
0,1.3111316e-15
0,1.9719277e-15
0,2.5140461e-15
0,3.0020131e-15
0,3.4492191e-15
0,3.8581645e-15
0,4.2432139e-15
0,4.608908e-15
0,4.9590328e-15
0,5.2985169e-15
0,5.2975164e-15
-0.5,6.8423198e-15
-1,8.126641e-15
-1.5,9.2336987e-15
-2,1.0175244e-14
-2.5,1.0911438e-14
-3,1.1480862e-14
-3.5,1.1962129e-14
-4,1.2348166e-14
-4.5,1.2630814e-14
-5,1.2853247e-14
-5.5,1.300914e-14
-6,1.3116117e-14
-6.5,1.3207047e-14
-7,1.3260234e-14
-7.5,1.3326028e-14
-8,1.3373756e-14
-8.5,1.3389471e-14
-9,1.3430212e-14
-9.5,1.3467795e-14
-10,1.3490664e-14
-10.5,1.3512719e-14
-11,1.3539976e-14
-11.5,1.3545907e-14
-12,1.3558758e-14
-12.5,1.3585504e-14
-13,1.3618938e-14
-13.5,1.363215e-14
-14,1.3641508e-14
-14.5,1.3636989e-14
-15,1.3666751e-14
-15.5,1.3678654e-14
-16,1.3652269e-14
-16.5,1.3677487e-14
-17,1.3628244e-14
-17.5,1.3576624e-14
-18,1.3475656e-14
-18.5,1.3187384e-14
-19,1.2782221e-14
-19.5,1.2081802e-14
-20,1.1127676e-14
-20.5,1.006215e-14
-21,8.9916338e-15
-21.5,8.021833e-15
-22,7.1618681e-15
-22.5,6.4585963e-15
-23,5.8459212e-15
-23.5,5.346464e-15
-24,4.8908877e-15
-24.5,4.4823954e-15
-25,4.0908239e-15
-25.5,3.7796254e-15
-26,3.5022127e-15
-26.5,3.2156608e-15
-27,3.0476146e-15
-27.5,2.7676364e-15
-28,2.4965725e-15
-28.5,2.3730892e-15
-29,2.306537e-15
-29.5,2.1858192e-15
-30,2.0911556e-15
-30.5,1.969179e-15
-31,1.8789036e-15
-31.5,1.7828234e-15
-32,1.8015431e-15
-32.5,1.6971499e-15
-33,1.6433611e-15
-33.5,1.5629579e-15
-34,1.5228598e-15
-34.5,1.4919662e-15
-35,1.4195467e-15
-35.5,1.4245034e-15
-36,1.356681e-15
-36.5,1.3432322e-15
-37,1.2819871e-15
-37.5,1.2605895e-15
-38,1.2070992e-15
-38.5,1.1795396e-15
-39,1.1915554e-15
-39.5,1.1717857e-15
-40,1.1345689e-15
-40.5,1.0847636e-15
-41,1.0694686e-15
-41.5,1.0719246e-15
-42,1.045002e-15
-42.5,1.0303952e-15
-43,1.0455116e-15
-43.5,9.9390834e-16
-44,1.0098726e-15
-44.5,9.6789716e-16
-45,9.4278705e-16
-45.5,9.4521714e-16
-46,9.3741561e-16
-46.5,9.2803375e-16
-47,9.0334237e-16
-47.5,8.9535181e-16
-48,8.9367064e-16
-48.5,8.6802787e-16
-49,8.7355486e-16
-49.5,8.701649e-16
-50,8.5656807e-16

