Ntop TotalCurrent(n222_des) X,Ntop TotalCurrent(n222_des) Y
0,-2.611609e-17
0,-1.9008025e-20
0,5.1119903e-15
0,7.2110537e-15
0,8.2188874e-15
0,9.0558585e-15
0,9.9153555e-15
0,1.0835087e-14
0,1.1810425e-14
0,1.2820079e-14
0,1.3822922e-14
0,1.4776005e-14
0,1.4776413e-14
-0.5,1.6321013e-14
-1,1.7603195e-14
-1.5,1.8712879e-14
-2,1.9641667e-14
-2.5,2.0366317e-14
-3,2.0917061e-14
-3.5,2.1381191e-14
-4,2.175384e-14
-4.5,2.2040075e-14
-5,2.2248827e-14
-5.5,2.2414732e-14
-6,2.25415e-14
-6.5,2.2632138e-14
-7,2.2714179e-14
-7.5,2.2761605e-14
-8,2.2786812e-14
-8.5,2.2855308e-14
-9,2.2870631e-14
-9.5,2.2892645e-14
-10,2.2925631e-14
-10.5,2.294612e-14
-11,2.2974967e-14
-11.5,2.2985407e-14
-12,2.3009093e-14
-12.5,2.3028777e-14
-13,2.3025339e-14
-13.5,2.3043781e-14
-14,2.307905e-14
-14.5,2.3085265e-14
-15,2.3069147e-14
-15.5,2.3138435e-14
-16,2.309612e-14
-16.5,2.3096672e-14
-17,2.3152212e-14
-17.5,2.3102557e-14
-18,2.309543e-14
-18.5,2.3014389e-14
-19,2.2870635e-14
-19.5,2.2599476e-14
-20,2.2137598e-14
-20.5,2.1455859e-14
-21,2.0550748e-14
-21.5,1.9600381e-14
-22,1.8665573e-14
-22.5,1.7826797e-14
-23,1.7103258e-14
-23.5,1.6488114e-14
-24,1.5943607e-14
-24.5,1.5518948e-14
-25,1.5083442e-14
-25.5,1.4731543e-14
-26,1.4410377e-14
-26.5,1.4087766e-14
-27,1.3804269e-14
-27.5,1.3587681e-14
-28,1.3352626e-14
-28.5,1.3112397e-14
-29,1.2835845e-14
-29.5,1.2639459e-14
-30,1.247021e-14
-30.5,1.2380003e-14
-31,1.2323938e-14
-31.5,1.2134333e-14
-32,1.2037895e-14
-32.5,1.1965992e-14
-33,1.1879361e-14
-33.5,1.1779159e-14
-34,1.1689691e-14
-34.5,1.1625282e-14
-35,1.1610669e-14
-35.5,1.1522359e-14
-36,1.1502823e-14
-36.5,1.1426218e-14
-37,1.138617e-14
-37.5,1.1264875e-14
-38,1.12247e-14
-38.5,1.1192015e-14
-39,1.1171614e-14
-39.5,1.1123019e-14
-40,1.1138233e-14
-40.5,1.1075317e-14
-41,1.1049415e-14
-41.5,1.103059e-14
-42,1.0982234e-14
-42.5,1.0964048e-14
-43,1.095718e-14
-43.5,1.0933208e-14
-44,1.0922696e-14
-44.5,1.0885325e-14
-45,1.0873184e-14
-45.5,1.0865223e-14
-46,1.0886258e-14
-46.5,1.0819074e-14
-47,1.0817593e-14
-47.5,1.080237e-14
-48,1.0792941e-14
-48.5,1.0780885e-14
-49,1.0761371e-14
-49.5,1.0763613e-14
-50,1.0737849e-14

