Ptop TotalCurrent(iv_0.0_1000) X,Ptop TotalCurrent(iv_0.0_1000) Y
0,2.3534488e-19
0,-6.9612402e-21
0,-2.3585801e-15
0,-3.5441857e-15
0,-5.0291349e-15
0,-7.0301079e-15
0,-8.9773879e-15
0,-1.0164657e-14
0,-1.0781437e-14
0,-1.1130648e-14
0,-1.135465e-14
0,-1.1516919e-14
0,-1.1516925e-14
-0.5,-1.1510983e-14
-1,-1.15068e-14
-1.5,-1.1504303e-14
-2,-1.1503939e-14
-2.5,-1.1506771e-14
-3,-1.1514581e-14
-3.5,-1.1529685e-14
-4,-1.1554136e-14
-4.5,-1.1586673e-14
-5,-1.1618723e-14
-5.5,-1.1640098e-14
-6,-1.1650064e-14
-6.5,-1.1652777e-14
-7,-1.1651378e-14
-7.5,-1.164752e-14
-8,-1.1641969e-14
-8.5,-1.1635094e-14
-9,-1.1627062e-14
-9.5,-1.1617963e-14
-10,-1.1607714e-14
-10.5,-1.1595843e-14
-11,-1.1580297e-14
-11.5,-1.1553489e-14
-12,-1.1488304e-14
-12.5,-1.1289864e-14
-13,-1.0637758e-14
-13.5,-8.48901e-15
-14,-1.5735147e-15
-14.5,1.9979655e-14
-15,8.4828259e-14
-15.5,2.7291748e-13
-16,7.9828861e-13
-16.5,2.210146e-12
-17,5.8564888e-12
-17.5,1.4894192e-11
-18,3.635159e-11
-18.5,8.5024207e-11
-19,1.9012575e-10
-19.5,4.051239e-10
-20,8.1925207e-10
-20.5,1.5655136e-9
-21,2.816878e-9
-21.5,4.765238e-9
-22,7.5886628e-9
-22.5,1.1422384e-8
-23,1.6346171e-8
-23.5,2.2388638e-8
-24,2.9540581e-8
-24.5,3.7769359e-8
-25,4.7030297e-8
-25.5,5.7274277e-8
-26,6.8452235e-8
-26.5,8.0517524e-8
-27,9.3426983e-8
-27.5,1.0714126e-7
-28,1.2162476e-7
-28.5,1.3684535e-7
-29,1.5277405e-7
-29.5,1.6938471e-7
-30,1.8665361e-7
-30.5,2.0455923e-7
-31,2.2308195e-7
-31.5,2.4220381e-7
-32,2.619083e-7
-32.5,2.8218023e-7
-33,3.0300552e-7
-33.5,3.2437109e-7
-34,3.4626479e-7
-34.5,3.6867522e-7
-35,3.9159172e-7
-35.5,4.1500426e-7
-36,4.3890336e-7
-36.5,4.6328009e-7
-37,4.8812597e-7
-37.5,5.1343293e-7
-38,5.3919332e-7
-38.5,5.653998e-7
-39,5.9204539e-7
-39.5,6.1912337e-7
-40,6.4662732e-7
-40.5,6.7455106e-7
-41,7.0288864e-7
-41.5,7.3163431e-7
-42,7.6078255e-7
-42.5,7.9032799e-7
-43,8.2026546e-7
-43.5,8.5058995e-7
-44,8.8129658e-7
-44.5,9.1238062e-7
-45,9.4383749e-7
-45.5,9.756627e-7
-46,1.0078519e-6
-46.5,1.0404009e-6
-47,1.0733055e-6
-47.5,1.1065617e-6
-48,1.1401656e-6
-48.5,1.1741133e-6
-49,1.208401e-6
-49.5,1.2430251e-6
-50,1.277982e-6

