Ntop1 TotalCurrent X,Ntop1 TotalCurrent Y,Ntop2 TotalCurrent X,Ntop2 TotalCurrent Y
5e-13,1.7026978e-13,5e-13,1.6937547e-13
1.25e-12,2.740506e-13,1.25e-12,2.7407824e-13
2.375e-12,1.4075461e-12,2.375e-12,1.4072458e-12
4.0625e-12,2.466398e-11,4.0625e-12,2.4631637e-11
6.59375e-12,6.5543761e-10,6.59375e-12,6.5432286e-10
1.0390625e-11,7.9758241e-09,1.0390625e-11,7.9599817e-09
1.6085938e-11,1.604553e-08,1.6085938e-11,1.6017399e-08
2.4628906e-11,1.8726032e-08,2.4628906e-11,1.8710749e-08
3.7443359e-11,1.966855e-08,3.7443359e-11,1.9653902e-08
5.6665039e-11,2.0917793e-08,5.6665039e-11,2.0905632e-08
8.5497559e-11,2.1993789e-08,8.5497559e-11,2.1985088e-08
1.2874634e-10,2.2693542e-08,1.2874634e-10,2.2687115e-08
1.9361951e-10,2.2695777e-08,1.9361951e-10,2.2691272e-08
2.4227438e-10,2.2250593e-08,2.4227438e-10,2.2246977e-08
2.7876554e-10,2.1776808e-08,2.7876554e-10,2.1773696e-08
3.3350228e-10,2.0931778e-08,3.3350228e-10,2.0929243e-08
3.7455483e-10,2.0230379e-08,3.7455483e-10,2.022818e-08
4.3613366e-10,1.9121424e-08,4.3613366e-10,1.911961e-08
4.8231778e-10,1.8265762e-08,4.8231778e-10,1.826415e-08
5.5159396e-10,1.6970309e-08,5.5159396e-10,1.6968912e-08
6.5550823e-10,1.5035808e-08,6.5550823e-10,1.5034582e-08
7.3344394e-10,1.360927e-08,7.3344394e-10,1.3608081e-08
8.503475e-10,1.1534242e-08,8.503475e-10,1.1533037e-08
9.3802516e-10,1.004806e-08,9.3802516e-10,1.0046877e-08
1.0695417e-09,7.9899688e-09,1.0695417e-09,7.988921e-09
1.168179e-09,6.6375023e-09,1.168179e-09,6.6366612e-09
1.3161351e-09,5.0786495e-09,1.3161351e-09,5.0782043e-09
1.4271022e-09,4.4165475e-09,1.4271022e-09,4.4163736e-09
1.5935527e-09,4.5701229e-09,1.5935527e-09,4.5699464e-09
1.7183907e-09,5.8089257e-09,1.7183907e-09,5.8080454e-09
1.9056475e-09,9.8279248e-09,1.9056475e-09,9.8236192e-09
2.0460902e-09,1.4624644e-08,2.0460902e-09,1.4615033e-08
2.1514222e-09,1.9172467e-08,2.1514222e-09,1.9156946e-08
2.3094202e-09,2.7236041e-08,2.3094202e-09,2.7208425e-08
2.4279187e-09,3.3980911e-08,2.4279187e-09,3.3941936e-08
2.6056665e-09,4.4518332e-08,2.6056665e-09,4.4460095e-08
2.7389773e-09,5.2288924e-08,2.7389773e-09,5.2215897e-08
2.9389435e-09,6.2922265e-08,2.9389435e-09,6.2830046e-08
3.0889182e-09,6.9738678e-08,3.0889182e-09,6.9636487e-08
3.3138802e-09,7.7772341e-08,3.3138802e-09,7.7664502e-08
3.4826017e-09,8.2090388e-08,3.4826017e-09,8.1985132e-08
3.7356839e-09,8.615104e-08,3.7356839e-09,8.6056533e-08
3.9254956e-09,8.7593503e-08,3.9254956e-09,8.7509378e-08
4.0678544e-09,8.7946332e-08,4.0678544e-09,8.7869965e-08
4.2813926e-09,8.7545776e-08,4.2813926e-09,8.7480149e-08
4.4415462e-09,8.665326e-08,4.4415462e-09,8.659487e-08
4.6817766e-09,8.4617122e-08,4.6817766e-09,8.4568292e-08
4.8619494e-09,8.2680893e-08,4.8619494e-09,8.2638178e-08
5.1322086e-09,7.9360075e-08,5.1322086e-09,7.9324807e-08
5.334903e-09,7.6665853e-08,5.334903e-09,7.6634926e-08
5.6389447e-09,7.2496237e-08,5.6389447e-09,7.2470278e-08
6.0950071e-09,6.6293633e-08,6.0950071e-09,6.6272793e-08
6.7791008e-09,5.7713118e-08,6.7791008e-09,5.7697048e-08
7.292171e-09,5.20471e-08,7.292171e-09,5.2033401e-08
8.0617764e-09,4.477491e-08,8.0617764e-09,4.4763847e-08
8.6389804e-09,4.0164843e-08,8.6389804e-09,4.015531e-08
9.0718834e-09,3.7105358e-08,9.0718834e-09,3.7096802e-08
9.7212379e-09,3.3054181e-08,9.7212379e-09,3.3046881e-08
1.0208254e-08,3.0384471e-08,1.0208254e-08,3.0377971e-08
1.0938778e-08,2.6876119e-08,1.0938778e-08,2.6870638e-08
1.1486671e-08,2.4583455e-08,1.1486671e-08,2.457861e-08
1.189759e-08,2.302847e-08,1.189759e-08,2.3024049e-08
1.251397e-08,2.0926694e-08,1.251397e-08,2.0922827e-08
1.3438539e-08,1.8218412e-08,1.3438539e-08,1.8215227e-08
1.4825393e-08,1.4954592e-08,1.4825393e-08,1.4952176e-08
1.6905674e-08,1.1362849e-08,1.6905674e-08,1.1361209e-08
2.0026095e-08,7.8457826e-09,2.0026095e-08,7.8448251e-09
2.4706726e-08,4.8414575e-09,2.4706726e-08,4.8410288e-09
2.9706726e-08,3.1057602e-09,2.9706726e-08,3.1056034e-09
3.4706726e-08,2.0822799e-09,3.4706726e-08,2.082254e-09
3.9706726e-08,1.4320998e-09,3.9706726e-08,1.4321317e-09
