Ntop_0_0 TotalCurrent(tran_50_0_0_-11_1.28e-5) X,Ntop_0_0 TotalCurrent(tran_50_0_0_-11_1.28e-5) Y,Ntop_0_1 TotalCurrent(tran_50_0_0_-11_1.28e-5) X,Ntop_0_1 TotalCurrent(tran_50_0_0_-11_1.28e-5) Y,Ntop_1_0 TotalCurrent(tran_50_0_0_-11_1.28e-5) X,Ntop_1_0 TotalCurrent(tran_50_0_0_-11_1.28e-5) Y,Ntop_1_1 TotalCurrent(tran_50_0_0_-11_1.28e-5) X,Ntop_1_1 TotalCurrent(tran_50_0_0_-11_1.28e-5) Y
5e-13,1.4224468e-13,5e-13,1.4282123e-13,5e-13,1.3621209e-13,5e-13,1.3822704e-13
1.25e-12,1.539636e-13,1.25e-12,1.4078181e-13,1.25e-12,1.3991435e-13,1.25e-12,1.3984869e-13
2.375e-12,2.8076593e-13,2.375e-12,1.4304259e-13,2.375e-12,1.4269815e-13,2.375e-12,1.3885394e-13
4.0625e-12,3.0559816e-12,4.0625e-12,2.355751e-13,4.0625e-12,2.3610374e-13,4.0625e-12,1.5365971e-13
6.59375e-12,8.3475181e-11,6.59375e-12,2.9136918e-12,6.59375e-12,2.916832e-12,6.59375e-12,5.8585873e-13
1.0390625e-11,1.0961014e-9,1.0390625e-11,3.6256926e-11,1.0390625e-11,3.6304027e-11,1.0390625e-11,5.9270776e-12
1.6085938e-11,2.5355587e-9,1.6085938e-11,8.1621756e-11,1.6085938e-11,8.1737327e-11,1.6085938e-11,1.29861e-11
2.4628906e-11,3.1153678e-9,2.4628906e-11,9.7479658e-11,2.4628906e-11,9.7632993e-11,2.4628906e-11,1.5266205e-11
3.7443359e-11,3.2028e-9,3.7443359e-11,9.7337259e-11,3.7443359e-11,9.7500201e-11,3.7443359e-11,1.510846e-11
5.6665039e-11,3.2651677e-9,5.6665039e-11,9.5330207e-11,5.6665039e-11,9.5500966e-11,5.6665039e-11,1.4674069e-11
8.5497559e-11,3.205581e-9,8.5497559e-11,8.7581468e-11,8.5497559e-11,8.7756479e-11,8.5497559e-11,1.3339094e-11
1.2874634e-10,2.960151e-9,1.2874634e-10,7.1630216e-11,1.2874634e-10,7.1803765e-11,1.2874634e-10,1.0749703e-11
1.9361951e-10,2.44577e-9,1.9361951e-10,4.4766755e-11,1.9361951e-10,4.4934122e-11,1.9361951e-10,6.5167107e-12
