Ntop TotalCurrent X,Ntop TotalCurrent Y
5e-13,5.3408624e-13
1.25e-12,1.6618911e-12
2.375e-12,1.4858667e-11
4.0625e-12,3.0289719e-10
6.59375e-12,8.7524122e-09
1.0390625e-11,1.1709974e-07
1.6085938e-11,2.8381984e-07
2.4628906e-11,3.6986362e-07
3.7443359e-11,4.0291723e-07
5.6665039e-11,4.4087417e-07
8.5497559e-11,4.8064247e-07
1.2874634e-10,5.1683378e-07
1.9361951e-10,5.427685e-07
2.4227438e-10,5.5043184e-07
2.7876554e-10,5.5284413e-07
3.3350228e-10,5.5361976e-07
3.7455483e-10,5.5294583e-07
4.3613366e-10,5.5116203e-07
4.8231778e-10,5.4967305e-07
5.5159396e-10,5.477226e-07
6.5550823e-10,5.459554e-07
7.3344394e-10,5.4565869e-07
8.503475e-10,5.4670484e-07
9.3802516e-10,5.4844348e-07
1.0695417e-09,5.5203092e-07
1.168179e-09,5.5507309e-07
1.3161351e-09,5.5908828e-07
1.4271022e-09,5.6069047e-07
1.5935527e-09,5.5807126e-07
1.7183907e-09,5.4993519e-07
1.9056475e-09,5.2323022e-07
2.0460902e-09,4.8982992e-07
2.1514222e-09,4.5711369e-07
2.3094202e-09,3.9787306e-07
2.4279187e-09,3.4805452e-07
2.6056665e-09,2.7161737e-07
2.7389773e-09,2.1749274e-07
2.9389435e-09,1.4854509e-07
3.0889182e-09,1.0862894e-07
3.3138802e-09,6.7153706e-08
3.4826017e-09,4.7883837e-08
3.7356839e-09,3.1230114e-08
3.9254956e-09,2.462046e-08
4.0678544e-09,2.1422381e-08
4.2813926e-09,1.81099e-08
4.4415462e-09,1.6300986e-08
4.5016038e-09,1.5711475e-08
4.5916902e-09,1.4889792e-08
4.7268198e-09,1.3766341e-08
4.9295142e-09,1.2258874e-08
5.2335558e-09,1.0280601e-08
5.6896183e-09,7.7987878e-09
6.3737119e-09,5.0090668e-09
7.3998524e-09,2.5197349e-09
8.9390631e-09,9.7562031e-10
1.1247879e-08,2.8074012e-10
1.4711103e-08,3.9308788e-11
1.7211103e-08,1.663706e-11
2.0961103e-08,7.5566582e-12
2.3461103e-08,5.6113323e-12
2.7211103e-08,3.8793774e-12
2.9711103e-08,3.1323281e-12
3.3461103e-08,2.3405967e-12
3.8461103e-08,1.6615231e-12
4.3461103e-08,1.2327472e-12
4.8461103e-08,9.4852218e-13
5.3461103e-08,7.5417952e-13
5.8461103e-08,6.1874284e-13
6.3461103e-08,5.2330619e-13
6.8461103e-08,4.5564894e-13
7.3461103e-08,4.0750053e-13
7.8461103e-08,3.7318385e-13
8.3461103e-08,3.4868857e-13
8.8461103e-08,3.3120051e-13
9.3461103e-08,3.1870615e-13
9.8461103e-08,3.0978124e-13
1e-07,3.0759281e-13

