Ntop1 TotalCurrent X,Ntop1 TotalCurrent Y,Ntop2 TotalCurrent X,Ntop2 TotalCurrent Y,Ntop3 TotalCurrent X,Ntop3 TotalCurrent Y,Ntop4 TotalCurrent X,Ntop4 TotalCurrent Y
5e-13,8.2427125e-14,5e-13,8.1922199e-14,5e-13,7.9889329e-14,5e-13,8.320499e-14
1.25e-12,1.1893369e-13,1.25e-12,1.1898415e-13,1.25e-12,1.183641e-13,1.25e-12,1.1901445e-13
2.375e-12,5.1701278e-13,2.375e-12,5.1658319e-13,2.375e-12,5.1651877e-13,2.375e-12,5.1625957e-13
4.0625e-12,8.7433636e-12,4.0625e-12,8.7357428e-12,4.0625e-12,8.7239486e-12,4.0625e-12,8.7303534e-12
6.59375e-12,2.3323076e-10,6.59375e-12,2.3299899e-10,6.59375e-12,2.3260849e-10,6.59375e-12,2.328232e-10
1.0390625e-11,2.8629736e-09,1.0390625e-11,2.8598866e-09,1.0390625e-11,2.8543653e-09,1.0390625e-11,2.8575348e-09
1.6085938e-11,5.8740544e-09,1.6085938e-11,5.8685333e-09,1.6085938e-11,5.8591824e-09,1.6085938e-11,5.864587e-09
2.4628906e-11,6.9242677e-09,2.4628906e-11,6.9200713e-09,2.4628906e-11,6.9161459e-09,2.4628906e-11,6.9181455e-09
3.7443359e-11,7.2460199e-09,3.7443359e-11,7.241704e-09,3.7443359e-11,7.23798e-09,3.7443359e-11,7.2402284e-09
5.6665039e-11,7.6560674e-09,5.6665039e-11,7.653085e-09,5.6665039e-11,7.6494801e-09,5.6665039e-11,7.6518537e-09
8.5497559e-11,7.9995159e-09,8.5497559e-11,7.9977802e-09,8.5497559e-11,7.9952962e-09,8.5497559e-11,7.996928e-09
1.2874634e-10,8.1826462e-09,1.2874634e-10,8.1816512e-09,1.2874634e-10,8.1800746e-09,1.2874634e-10,8.1811042e-09
1.9361951e-10,8.0539284e-09,1.9361951e-10,8.053511e-09,1.9361951e-10,8.0527555e-09,1.9361951e-10,8.0532651e-09
