Ntop TotalCurrent(tran_100_1.202e-5) X,Ntop TotalCurrent(tran_100_1.202e-5) Y
5e-13,5.9696604e-13
1.25e-12,2.024247e-12
2.375e-12,1.8798308e-11
4.0625e-12,3.867647e-10
6.59375e-12,1.1269886e-8
1.0390625e-11,1.5208088e-7
1.6085938e-11,3.7355072e-7
2.4628906e-11,4.8876491e-7
3.7443359e-11,5.2874029e-7
5.6665039e-11,5.7036497e-7
8.5497559e-11,6.096873e-7
1.2874634e-10,6.4036882e-7
1.6118292e-10,6.5063447e-7
2.098378e-10,6.5572001e-7
2.4632896e-10,6.5496094e-7
3.0106569e-10,6.5067926e-7
3.4211825e-10,6.464513e-7
4.0369707e-10,6.4009685e-7
4.4988119e-10,6.3581346e-7
5.1915738e-10,6.3059131e-7
5.7111451e-10,6.2767593e-7
6.4905022e-10,6.248057e-7
7.07502e-10,6.236951e-7
7.9517966e-10,6.233531e-7
9.2669617e-10,6.2483815e-7
1.0253335e-9,6.2666362e-7
1.1732896e-9,6.2830556e-7
1.2842567e-9,6.2665251e-7
1.3674819e-9,6.2230565e-7
1.4923199e-9,6.0798095e-7
1.5859483e-9,5.8925948e-7
1.726391e-9,5.4568788e-7
1.831723e-9,5.0061861e-7
1.989721e-9,4.1719194e-7
2.1082195e-9,3.4760145e-7
2.2859673e-9,2.4578318e-7
2.4192781e-9,1.7935657e-7
2.6192443e-9,1.04496e-7
2.769219e-9,6.7827129e-8
2.8817e-9,4.9386665e-8
2.9660607e-9,3.9473505e-8
3.0293313e-9,3.3751583e-8
3.1242371e-9,2.7257556e-8
3.1598268e-9,2.5349883e-8
3.1664999e-9,2.5018659e-8
3.1715047e-9,2.477544e-8
3.1790119e-9,2.4418652e-8
3.1902727e-9,2.3901008e-8
3.2071639e-9,2.3162195e-8
3.2325007e-9,2.2132927e-8
3.2705059e-9,2.0748674e-8
3.3275137e-9,1.8977783e-8
3.4130254e-9,1.6858844e-8
3.541293e-9,1.4513979e-8
3.7336943e-9,1.207441e-8
3.8779953e-9,1.0705342e-8
4.0944468e-9,9.004443e-9
4.2567854e-9,7.9060607e-9
4.5002934e-9,6.4598547e-9
4.8655553e-9,4.6822699e-9
5.4134482e-9,2.7882364e-9
6.2352875e-9,1.2430371e-9
7.4680465e-9,3.9719228e-10
9.317185e-9,8.4649766e-11
1.2090893e-8,1.0738662e-11
1.4171173e-8,7.8007469e-12
1.4951279e-8,7.0958481e-12
1.6121437e-8,6.2658276e-12
1.7876674e-8,5.2733829e-12
2.0509529e-8,4.1642935e-12
2.4458812e-8,3.0355993e-12
2.9458812e-8,2.1498077e-12
3.4458812e-8,1.6053418e-12
3.9458812e-8,1.2492353e-12
4.4458812e-8,1.0038895e-12
4.9458812e-8,8.2809903e-13
5.4458812e-8,6.9864809e-13
5.9458812e-8,6.0163384e-13
6.4458812e-8,5.2807988e-13
6.9458812e-8,4.7194239e-13
7.4458812e-8,4.2890365e-13
7.9458812e-8,3.9583077e-13
8.4458812e-8,3.7037191e-13
8.9458812e-8,3.5076013e-13
9.4458812e-8,3.3564144e-13
9.9458812e-8,3.2398488e-13
1e-7,3.2289659e-13

